id;name;amount;is_percentage;is_allow_combination_discount;is_final_bill_discount;start_count;end_count;multiply_count;min_amount;max_amount;min_volume_weight;max_volume_weight;modified_date
1;haptic Research revolutionize;49678;true;false;false;97769;65102;69530;92820;30136;61517;74075;2020-08-02T08:11:07
2;protocol Rand Namibia Dollar Metal;12716;true;true;false;94883;16686;83970;14091;44145;83454;73338;2020-08-01T21:05:26
3;reciprocal pricing structure;9559;true;false;false;19057;77031;14364;54319;74376;3300;28864;2020-08-02T14:03:22
4;monitor engineer blue;49297;false;false;true;84662;42120;27895;79935;41896;13254;17099;2020-08-02T10:10:57
5;Central African Republic Chips;84318;true;false;true;3303;57842;1955;59349;54452;34869;38884;2020-08-01T18:52:00
6;Denmark River;54850;false;true;false;37240;50881;84413;30888;21083;81459;39497;2020-08-02T17:25:51
7;Identity Sleek Cotton Keyboard;12879;true;false;false;50060;74755;95801;5319;25723;66817;29569;2020-08-02T00:41:42
8;Accounts redefine;66011;false;true;false;39575;23924;70994;16852;48390;44924;46603;2020-08-02T01:43:47
9;Maryland strategy;12035;true;false;true;61695;35722;26029;62441;92007;56402;5839;2020-08-02T01:48:55
10;indexing synergies firmware;46866;false;false;false;32154;41258;9244;93670;2944;78681;382;2020-08-01T20:36:57
