id;size_of_percel;min_volume_weight;max_volume_weight;min_actual_weight;max_actual_weight;price;last_edited_by;last_edited_when
1;embrace optical;67335;15020;66933;59620;64533;Tasty override;2020-08-02T06:04:18
2;Division virtual;15193;1467;34242;50238;2343;Investment Account;2020-08-02T05:37:26
3;Awesome Functionality;3635;49018;93219;7216;88995;Data Toys;2020-08-01T20:33:43
4;North Dakota;81778;78996;61625;74465;90168;system-worthy Director methodical;2020-08-02T00:59:44
5;projection;47249;33312;92315;34185;16700;projection Investment Account Personal Loan Account;2020-08-01T19:33:40
6;local Usability;20895;48233;3008;74030;6688;Streamlined;2020-08-02T11:28:57
7;Soft Plastic;84596;98409;96028;14611;33071;Intelligent;2020-08-02T06:50:57
8;Louisiana Greece;69255;19938;4176;59992;80904;Refined Bacon;2020-08-02T07:11:24
9;South Dakota;86747;14584;24584;88619;30779;Shoes Buckinghamshire;2020-08-02T00:31:37
10;Gorgeous Congolese Franc;92622;43965;11577;40285;64289;homogeneous;2020-08-02T12:07:48
